family,kernel,size,threads,variant,median_runtime_sec,median_wall_time_sec,all_runtimes_sec,last_output
polybench_style,gemm,small,16,optimized,0.000689,0.0047876834869384766,0.000697;0.00067;0.000689,"kernel=gemm,size=small,n=256,threads=16,runtime_sec=0.000689"
polybench_style,gemm,standard,1,baseline,0.026413,0.031134843826293945,0.027819;0.026413;0.026246,"kernel=gemm,size=standard,n=512,threads=1,runtime_sec=0.026246"
polybench_style,gemm,standard,1,optimized,0.00789,0.01086878776550293,0.004692;0.013453;0.00789,"kernel=gemm,size=standard,n=512,threads=1,runtime_sec=0.007890"
polybench_style,gemm,standard,2,baseline,0.017925,0.020579814910888672,0.017925;0.018021;0.017545,"kernel=gemm,size=standard,n=512,threads=2,runtime_sec=0.017545"
polybench_style,gemm,standard,2,optimized,0.005505,0.008216619491577148,0.004213;0.007652;0.005505,"kernel=gemm,size=standard,n=512,threads=2,runtime_sec=0.005505"
polybench_style,gemm,standard,4,baseline,0.010719,0.013396739959716797,0.010719;0.010751;0.010458,"kernel=gemm,size=standard,n=512,threads=4,runtime_sec=0.010458"
polybench_style,gemm,standard,4,optimized,0.004127,0.006521463394165039,0.00345;0.004127;0.004152,"kernel=gemm,size=standard,n=512,threads=4,runtime_sec=0.004152"
polybench_style,gemm,standard,8,baseline,0.005915,0.009831666946411133,0.005915;0.005922;0.005909,"kernel=gemm,size=standard,n=512,threads=8,runtime_sec=0.005909"
polybench_style,gemm,standard,8,optimized,0.002675,0.006665706634521484,0.002592;0.002675;0.00273,"kernel=gemm,size=standard,n=512,threads=8,runtime_sec=0.002730"
polybench_style,gemm,standard,16,baseline,0.003576,0.008154869079589844,0.003576;0.003562;0.003605,"kernel=gemm,size=standard,n=512,threads=16,runtime_sec=0.003605"
polybench_style,gemm,standard,16,optimized,0.002016,0.0063266754150390625,0.002502;0.002016;0.001704,"kernel=gemm,size=standard,n=512,threads=16,runtime_sec=0.001704"
polybench_style,gemm,large,1,baseline,0.053509,0.06093621253967285,0.053509;0.053938;0.052518,"kernel=gemm,size=large,n=768,threads=1,runtime_sec=0.052518"
polybench_style,gemm,large,1,optimized,0.029677,0.03571629524230957,0.03055;0.029677;0.028474,"kernel=gemm,size=large,n=768,threads=1,runtime_sec=0.028474"
polybench_style,gemm,large,2,baseline,0.036636,0.04183340072631836,0.037956;0.036636;0.036024,"kernel=gemm,size=large,n=768,threads=2,runtime_sec=0.036024"
polybench_style,gemm,large,2,optimized,0.015999,0.019979476928710938,0.020068;0.015119;0.015999,"kernel=gemm,size=large,n=768,threads=2,runtime_sec=0.015999"
polybench_style,gemm,large,4,baseline,0.025426,0.028646230697631836,0.025426;0.02327;0.026369,"kernel=gemm,size=large,n=768,threads=4,runtime_sec=0.026369"
polybench_style,gemm,large,4,optimized,0.01311,0.017065763473510742,0.013401;0.010717;0.01311,"kernel=gemm,size=large,n=768,threads=4,runtime_sec=0.013110"
polybench_style,gemm,large,8,baseline,0.016693,0.021124601364135742,0.017768;0.016693;0.016241,"kernel=gemm,size=large,n=768,threads=8,runtime_sec=0.016241"
polybench_style,gemm,large,8,optimized,0.007743,0.012291431427001953,0.007712;0.007764;0.007743,"kernel=gemm,size=large,n=768,threads=8,runtime_sec=0.007743"
